,listing_id,counts
6528,17421747,148
219,875444,148
1209,4632666,147
4954,14861568,147
3725,11446905,147
8295,20593493,147
1415,5130148,147
683,2468742,147
6385,17098276,147
3196,10086756,147
1474,5288609,147
384,1499776,147
5797,16279912,146
1282,4811216,146
4024,12351552,146
3188,10061126,146
304,1137049,146
7921,19894566,146
2172,7426035,146
73,310594,146
2206,7569498,146
3942,12120707,146
7103,18418995,146
4710,14147464,146
3372,10455409,146
5298,15591020,146
4831,14459298,146
1588,5565524,145
1572,5538585,145
1525,5457104,145
2101,7187642,145
7227,18637976,145
1454,5222707,145
2235,7667934,145
2660,8874637,145
5241,15486780,145
2053,7025628,145
4883,14654690,145
7541,19180726,144
4615,13867786,144
1130,4396510,144
7700,19492999,144
5027,15016168,144
5003,14985306,144
5413,15775452,144
2676,8924958,144
7508,19103787,144
3239,10129022,144
6755,17795348,144
4736,14212659,143
1510,5409141,143
4765,14288534,143
8141,20289375,143
706,2540820,143
4879,14634057,143
6296,16962791,142
800,2998640,142
7238,18655837,142
783,2935690,142
241,933044,142
6391,17104402,142
790,2970895,142
4567,13757439,142
8776,21220858,142
3579,11003922,142
5283,15554334,142
228,900838,142
6840,17944966,141
3238,10128917,141
3610,11108273,141
2044,6982246,141
2600,8729968,141
1335,4933252,141
6283,16933150,141
592,2182285,141
1204,4622909,141
2445,8356903,141
3665,11302539,141
1211,4639788,141
2233,7666691,141
1452,5222011,140
8228,20479724,140
1125,4380033,140
4968,14902220,140
4285,13116598,140
129,524570,140
728,2608880,140
4044,12419310,140
1115,4342764,140
424,1681677,140
7190,18588448,140
7585,19256711,140
6984,18202889,140
6975,18184529,140
6213,16829333,139
3992,12255431,139
9178,21618507,139
5135,15257369,139
11220,23950250,139
1620,5632136,139
8666,21071824,139
5185,15378962,139
715,2561355,139
9756,22133846,138
1973,6748531,138
8149,20310684,138
4253,13036015,138
3072,9828603,138
7843,19751108,138
9411,21844559,138
2566,8672957,138
9611,22002001,138
1054,4174441,138
1060,4187269,138
4436,13452614,138
444,1760620,138
4833,14461615,138
8035,20094111,138
3977,12211642,138
620,2268691,138
2593,8722618,138
7147,18513583,138
11734,24817703,138
1309,4868852,137
4788,14340933,137
4569,13765466,137
11881,25114457,137
11580,24611371,137
1038,4124388,137
801,2999904,137
1306,4867942,137
8654,21062506,137
2851,9394181,137
246,947806,137
2820,9318248,137
3382,10476825,137
5966,16468017,137
12632,26878210,137
1966,6723945,137
4480,13563834,136
56,256186,136
53,247006,136
6599,17527406,136
6588,17500241,136
6533,17426077,136
8868,21334209,136
2602,8744484,136
3050,9795256,136
1150,4470941,136
1136,4424270,135
2561,8654594,135
12341,26200433,135
7596,19291553,135
5064,15102483,135
4928,14793911,135
4976,14916459,135
4957,14865167,135
689,2484752,135
3724,11446031,135
3853,11852257,135
11577,24609898,135
3343,10374144,135
10679,23208062,135
4097,12615526,134
3474,10715407,134
6772,17834424,134
8178,20379555,134
4195,12892260,134
5965,16467828,134
1214,4645903,134
249,954106,134
9159,21603584,134
4784,14334745,134
5005,14987259,134
6156,16731895,134
6352,17028402,134
8889,21368639,134
6610,17547802,133
791,2973222,133
5171,15345114,133
8324,20640875,133
1391,5059826,133
6471,17276404,133
4646,13947511,133
1955,6695919,133
1416,5130473,133
1958,6708074,133
1862,6407347,133
1850,6367683,133
5691,16180357,133
5,38271,132
3426,10577344,132
3535,10888554,132
3129,9931974,132
7042,18320305,132
12587,26757860,132
9293,21735041,132
3850,11848521,132
440,1747852,132
4241,13007748,132
13826,29135522,132
936,3622287,132
10122,22450217,132
5436,15822160,132
2657,8867970,132
3909,11997917,132
7058,18337465,132
24,78143,132
6998,18241466,132
160,648169,132
4126,12718547,132
2353,8039419,131
941,3633953,131
904,3472109,131
4935,14819880,131
4582,13791132,131
886,3419343,131
555,2106502,131
6536,17429270,131
5802,16288565,131
2428,8309872,131
7189,18586937,131
5175,15348304,130
4754,14257140,130
350,1328207,130
2057,7042679,130
1595,5581793,130
1856,6379076,130
3324,10339779,130
2319,7940055,129
3135,9958054,129
7323,18802945,129
371,1417716,129
2465,8396886,129
6539,17438933,129
9800,22179409,129
1,10803,129
14745,30428826,129
7760,19624857,129
1710,5894488,129
2067,7074325,129
3497,10793149,129
7305,18762575,129
4666,14031679,129
3237,10128759,129
3503,10811146,129
1655,5741639,129
931,3606652,129
4731,14189505,128
3783,11629198,128
236,921611,128
3521,10859819,128
1127,4388799,128
4772,14308782,128
10322,22690413,128
12267,26043174,128
4396,13380549,128
5099,15182323,128
6509,17353116,128
5045,15058074,128
6197,16794600,128
6656,17614219,128
6594,17515964,128
3976,12210711,127
9386,21832598,127
6909,18066856,127
1606,5606085,127
6921,18085077,127
8769,21206201,127
9456,21876199,127
5373,15722183,127
4716,14156938,127
9075,21521114,127
1357,4987562,127
3456,10677458,127
4559,13754230,127
488,1914462,127
6479,17292557,127
6314,16996813,127
2920,9577863,127
7325,18810256,126
4966,14893028,126
2291,7859885,126
8695,21102784,126
5476,15891173,126
11127,23828385,126
7366,18878934,126
4850,14536615,126
2420,8279484,126
10424,22833464,126
6780,17849519,126
5205,15413280,126
4397,13381214,126
377,1467936,126
2573,8688440,126
6768,17829174,125
2074,7095182,125
7708,19508980,125
1095,4279493,125
5180,15364007,125
10595,23097380,125
482,1881832,125
701,2527326,125
9105,21553768,125
8799,21249101,125
1959,6708178,125
4284,13116192,125
714,2561266,125
7732,19562739,124
5057,15099440,124
3047,9779192,124
3180,10040503,124
372,1418497,124
2435,8329177,124
8410,20767932,124
9557,21954778,124
5370,15720486,124
2586,8706662,124
4999,14983749,124
6775,17847193,124
671,2446736,124
2333,7987068,123
8727,21156945,123
13535,28643147,123
7061,18348936,123
2446,8356909,123
2346,8002867,123
139,557900,123
8390,20737638,123
8012,20036099,123
8085,20176467,123
682,2463215,123
10440,22850400,123
3662,11287337,123
10568,23050346,123
7434,18965442,123
4238,12995410,123
5124,15238258,123
9067,21517661,122
10015,22346428,122
1920,6579697,122
9090,21541316,122
8785,21233433,122
946,3646402,122
7506,19102406,122
1329,4924438,122
2621,8800934,122
6253,16877631,122
9700,22081920,122
1030,4096442,122
8043,20108119,122
71,307630,122
6943,18126241,122
7408,18932344,122
6596,17517871,122
2898,9519951,122
757,2756297,122
5152,15293001,122
2932,9595060,122
4655,13970867,121
4904,14723150,121
4715,14156379,121
4100,12633301,121
4885,14658985,121
5260,15526554,121
4594,13823681,121
4186,12860995,121
2438,8341056,121
3732,11478776,121
972,3836547,121
7132,18490268,121
248,952100,121
1656,5749677,121
9699,22075408,121
4817,14390541,121
8066,20145501,120
10012,22344992,120
5716,16207868,120
7903,19847333,120
8246,20507261,120
3551,10949362,120
343,1302086,120
256,978562,120
4227,12962754,120
6278,16917403,120
472,1844970,120
7574,19230960,120
12536,26628004,120
451,1778484,120
1840,6348552,119
5553,15994172,119
3211,10104124,119
9142,21594823,119
7639,19368802,119
6180,16769634,119
10934,23581340,119
1400,5086912,119
6406,17128990,119
2647,8847106,119
6185,16773114,119
3074,9829220,119
6019,16531262,119
7680,19460205,119
9859,22233332,119
10985,23636663,119
3953,12153929,119
14699,30377209,119
2986,9683693,119
318,1195462,119
4906,14731902,119
5192,15387584,118
7858,19755790,118
3599,11089187,118
2241,7681119,118
8098,20215444,118
7195,18599744,118
5123,15238162,118
3212,10104161,118
2209,7584245,118
7914,19870807,118
4076,12546573,118
8502,20888758,118
1648,5722038,118
1909,6527428,118
10069,22392489,118
4467,13529510,118
2426,8296434,118
569,2136008,118
2343,8001259,117
5046,15062736,117
